id,title,overview,adult,poster_path,backdrop_path,release_date
1246049,Dracula,"When a 15th-century prince denounces God after the devastating loss of his wife, he inherits an eternal curse: he becomes Dracula. Condemned to wander the centuries, he defies fate and death itself, guided by a single hope — to be reunited with his lost love.",False,https://image.tmdb.org/t/p/w300//ykyRfv7JDofLxXLAwtLXaSuaFfM.jpg,https://image.tmdb.org/t/p/w300//otSXrUWOTX7tTigLBMFKOV8n47r.jpg,2025-07-30 00:00:00
1248226,Playdate,"When out-of-work accountant Brian joins stay-at-home dad Jeff for a playdate with their sons, he expects a laid-back afternoon. Instead, they're chased by mercenaries, and Brian—totally unprepared—must survive one absurd obstacle after another.",False,https://image.tmdb.org/t/p/w300//fGodXWqJkkkbSebPIlxLSygV8GY.jpg,https://image.tmdb.org/t/p/w300//5lQ4euO30sDin5nCifvi0vURFNd.jpg,2025-11-05 00:00:00
1296504,Stand Your Ground,"Former Special Forces operative, Jack Johnson, uses the Stand Your Ground law to seek vengeance for his wife’s murder, igniting a brutal war against a local crime lord’s family and ending in an explosive showdown.",False,https://image.tmdb.org/t/p/w300//vKB59pPIYvjRxxEXoRoyUfaiBoD.jpg,https://image.tmdb.org/t/p/w300//wE1TZtB5G1fdiln3PPnnLhExuCz.jpg,2025-05-09 00:00:00
1309012,Altered,"In an alternate present, genetically enhanced humans dominate society. Outcasts Leon and Chloe fight for justice against corrupt politicians exploiting genetic disparity, risking everything to challenge the oppressive system.",False,https://image.tmdb.org/t/p/w300//6QlAcGRaUrgHcZ4WTBh5lsPnzKx.jpg,https://image.tmdb.org/t/p/w300//q9bvjUkpKltPE0S9oxci2pmD1Zx.jpg,2025-09-18 00:00:00
1311031,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",False,https://image.tmdb.org/t/p/w300//fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,https://image.tmdb.org/t/p/w300//1RgPyOhN4DRs225BGTlHJqCudII.jpg,2025-07-18 00:00:00
1320414,The Witness,"In Iran, the retired dance teacher Tarlan witnesses her friend Rana's murder by her husband, who is an important government figure. When the police refuse to investigate, Tarlan must decide whether to bow to political pressure or risk her reputation and livelihood in pursuit of justice.",False,https://image.tmdb.org/t/p/w300//1tzK329TG6wfzEIx60v3PUlcBDO.jpg,https://image.tmdb.org/t/p/w300//gclxJhAVzincHlp179yeEbKmSJy.jpg,2025-04-04 00:00:00
1327862,Regretting You,"Morgan Grant and her daughter Clara explore what's left behind after a devastating accident reveals a shocking betrayal and forces them to confront family secrets, redefine love, and rediscover each other.",False,https://image.tmdb.org/t/p/w300//z4gVnxTaks3anTycwKjDmvQSuWt.jpg,https://image.tmdb.org/t/p/w300//m3WlBJJRbFPaut1QS0PbOG8Wezy.jpg,2025-10-22 00:00:00
1363123,The Family Plan 2,"Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy.",False,https://image.tmdb.org/t/p/w300//semFxuYx6HcrkZzslgAkBqfJvZk.jpg,https://image.tmdb.org/t/p/w300//7nAVXGHHtaNcdsqvDXmY6R9N0fG.jpg,2025-11-11 00:00:00
1377505,Spithood,"When a dangerous patient escapes confinement in a mental asylum and goes on a rampant killing spree, the night shift staff face their worst nightmare, as they fight for survival.",False,https://image.tmdb.org/t/p/w300//zV5djt7n4IZDR0ixq7hsafNTj91.jpg,https://image.tmdb.org/t/p/w300//h4YdTMJ6h0Poyo5XHn8vk4wTczT.jpg,2024-10-25 00:00:00
1419406,捕风追影,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,False,https://image.tmdb.org/t/p/w300//e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,https://image.tmdb.org/t/p/w300//4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg,2025-08-16 00:00:00
